Ticker|Name|CIK|SIC
PB|Prosperity Bancshares|0001068851|6022
PRU|Prudential Financial|0001137774|6311
PTC|PTC|0000857005|7372
PSA|Public Storage|0001393311|6798
PEG|Public Service Enterprise Group|0000788784|4931
PHM|PulteGroup|0000822416|1531
PSTG|Pure Storage|0001474432|3572
PVH|PVH|0000078239|2320
QGEN|Qiagen|0001015820|2836
QRVO|Qorvo|0001604778|3674
QCOM|Qualcomm|0000804328|3663
PWR|Quanta Services|0001050915|1731
PBF|PBF Energy|0001534504|2911
PEGA|Pegasystems|0001013857|7374
PAG|Penske Automotive Group|0001019849|5500
PNR|Pentair|0000077360|3550
PEN|Penumbra, Inc.|0001321732|3841
PBCT|People's United Financial|0001378946|6035
RLGY|Realogy|0001398987|6531
RP|RealPage|0001286225|7372
O|Realty Income|0000726728|6798
RBC|Regal Beloit|0000082811|3621
REG|Regency Centers|0000910606|6798
REGN|Regeneron Pharmaceuticals|0000872589|2834
RF|Regions Financial|0001281761|6021
RGA|Reinsurance Group of America|0000898174|6311
RS|Reliance Steel & Aluminum Co.|0000861884|5051
RNR|RenaissanceRe|0000913144|6331
RSG|Republic Services|0001060391|4953
RMD|Resmed|0000943819|3841
RPAI|Retail Properties of America, Inc.|0001222840|6798
RNG|RingCentral|0001384905|7374
RHI|Robert Half International|0000315213|7363
ROK|Rockwell Automation|0001024478|3829
ROL|Rollins, Inc.|0000084839|7340
ROP|Roper Technologies|0000882835|3823
ROST|Ross Stores|0000745732|5651
RCL|Royal Caribbean Cruises|0000884887|4400
RGLD|Royal Gold|0000085535|6795
RES|RPC, Inc.|0000742278|1389
RPM|RPM International|0000110621|2851
RSPP|RSP Permian|0001588216|1311
R|Ryder|0000085961|7510
SPGI|S&P Global|0000064040|7320
SABR|Sabre|0001597033|7370
SAGE|Sage Therapeutics|0001597553|2834
CRM|Salesforce.com|0001108524|7372
SC|Banco Santander|0001580608|6141
SRPT|Sarepta Therapeutics|0000873303|2834
SBAC|SBA Communications|0001034054|6798
HSIC|Henry Schein|0001000228|5047
SLB|Schlumberger|0000087347|1389
SNDR|Schneider National|0001692063|4213
SCHW|Charles Schwab Corporation|0000316709|6211
SMG|Scotts Miracle-Gro Company|0000825542|2870
SEB|Seaboard Corporation|0000088121|6221
SEE|Sealed Air|0001012100|2820
DGX|Quest Diagnostics|0001022079|8071
QRTEA|Qurate Retail Group|0001355096|5961
RL|Ralph Lauren Corporation|0001037038|2320
RRC|Range Resources|0000315852|1311
RJF|Raymond James Financial|0000720005|6211
RYN|Rayonier|0000052827|6798
RTN|Raytheon|0001047122|3812
NOW|ServiceNow|0001373715|7372
SHW|Sherwin-Williams|0000089800|5200
SBNY|Signature Bank|0001288784|6022
SLGN|Silgan Holdings|0000849869|3411
SPG|Simon Property Group|0001063761|6798
SIRI|Sirius XM Satellite Radio|0000908937|4832
SIX|Six Flags|0000701374|7990
SKX|Skechers|0001065837|3140
SWKS|Skyworks Solutions|0000004127|3674
SLG|SL Green Realty|0001040971|6798
SLM|Sallie Mae|0001032033|6141
SM|SM Energy|0000893538|1311
AOS|A. O. Smith|0000091142|3630
SJM|The J.M. Smucker Company|0000091419|2033
SNA|Snap-on|0000091440|3420
SON|Sonoco Products|0000091767|2650
SO|Southern Airways Express|0000092122|4911
SCCO|Southern Copper|0001001838|1000
LUV|Southwest Airlines|0000092380|4512
SPB|Spectrum Brands|0000109177|3690
SPR|Spirit Aerosystems|0001364885|3728
SRC|Spirit Realty Capital|0001308606|6512
SPLK|Splunk|0001353283|7372
S|Sprint Corporation|0000101830|4813
SFM|Sprouts Farmers Market|0001575515|5411
SQ|Square, Inc.|0001512673|7372
SSNC|SS&C Technologies|0001402436|7372
SWK|Stanley Black & Decker|0000093556|3420
SBUX|Starbucks|0000829224|5810
STWD|Starwood Property Trust|0001465128|6798
STT|State Street Corporation|0000093751|6022
STLD|Steel Dynamics|0001022671|3312
SRCL|Stericycle|0000861878|4955
STE|Steris|0001757898|3842
STL|Sterling Bancorp|0001070154|6021
STOR|Store Capital|0001538990|6798
SYK|Stryker|0000310764|3841
SUI|Sun Communities|0000912593|6798
STI|Suntrust Banks|0000750556|6021
SIVB|Silicon Valley Bank|0000719739|6022
SWCH|Switch|0001710583|7370
SGEN|Seattle Genetics|0001060736|2836
SEIC|SEI Investments Company|0000350894|6211
SRE|Sempra Energy|0001032208|4932
SNH|Senior Housing Property Trust|0001075415|6798
ST|Sensata Technologies|0001477294|3823
SCI|Service Corporation International|0000089089|7200
SERV|ServiceMaster|0001428875|8741
TPR|Tapestry, Inc.|0001116132|3100
TRGP|Targa Resources|0001389170|4922
TGT|Target Corporation|0000027419|5331
TCO|Taubman Centers|0000890319|6798
TCF|TCF Financial|0000019612|6021
AMTD|TD Ameritrade|0001173431|6211
TDY|Teledyne Technologies|0001094285|3812
TFX|Teleflex|0000096943|3841
TDS|Telephone & Data Systems|0001051512|4813
TPX|Tempur Sealy International|0001206264|2510
TDC|Teradata|0000816761|7372
TER|Teradyne|0000097210|3825
TEX|Terex|0000097216|3537
TSRO|Tesaro|0001491576|2834
TSLA|Tesla, Inc.|0001318605|3711
TCBI|Texas Capital Bancshares|0001077428|6022
TXN|Texas Instruments|0000097476|3674
TXT|Textron|0000217346|3720
TFSL|TFS Financial Corporation|0001381668|6035
CC|The Chemours Company|0001627223|2800
KHC|The Kraft Heinz Company|0001637459|2030
WEN|The Wendy's Company|0000030697|5810
TMO|Thermo Fisher Scientific|0000097745|3829
THO|Thor Industries|0000730263|3716
TIF|Tiffany & Co|0000098246|5944
TKR|Timken Company|0000098362|3562
TJX|TJX Companies|0000109198|5651
TOL|Toll Brothers|0000794170|1531
TTC|Toro|0000737758|3524
TSCO|Tractor Supply|0000916365|5200
TDG|Transdigm Group|0001260221|3728
RIG|Transocean|0001451505|1381
TRU|TransUnion|0001552033|7320
TRV|The Travelers Companies|0000086312|6331
THS|TreeHouse Foods|0001320695|2030
TRCO|Tribune Media|0000726513|4833
TRMB|Trimble|0000864749|3829
TRN|Trinity Industries|0000099780|3743
TRIP|Tripadvisor|0001526520|7370
SYF|Synchrony Financial|0001601712|6199
SNPS|Synopsys|0000883241|7372
SNV|Synovus Financial|0000018349|6021
SYY|Sysco|0000096021|5140
DATA|Tableau Software|0001303652|7372
TTWO|Take-Two Interactive|0000946581|7372
TMUS|T-Mobile US|0001283699|4812
TFC|Truist Financial|0000092230|6021
UBER|Uber|0001543151|7389
UGI|UGI Corporation|0000884614|4932
ULTA|Ulta Beauty|0001403568|5990
ULTI|Ultimate Software|0001016125|7372
UMPQ|Umpqua Holdings|0001077771|6035
UAA|Under Armour Class A|0001336917|2300
UA|Under Armour Class C|0001336917|2300
UNP|Union Pacific|0000100885|4011
UAL|United Airlines Holdings|0000100517|4512
UPS|United Parcel Service|0001090727|4210
URI|United Rentals|0001067701|7359
USM|U.S. Cellular|0000821130|4812
X|United States Steel|0001163302|3312
UTX|United Technologies|0000101829|3724
UTHR|United Therapeutics|0001082554|2834
UNH|UnitedHealth Group|0000731766|6324
UNIT|Uniti Group|0001620280|6798
UNVR|Univar Solutions|0001494319|5160
OLED|Universal Display Corporation|0001005284|3670
UHS|Universal Health Services|0000352915|8062
UNM|Unum|0000005513|6321
URBN|Urban Outfitters|0000912615|5651
USB|US Bancorp|0000036104|6021
USFD|US Foods|0001665918|5140
VFC|VF Corporation|0000103379|2320
MTN|Vail Resorts|0000812011|7990
VLO|Valero Energy|0001035002|2911
VMI|Valmont Industries|0000102729|3440
VVV|Valvoline|0001674910|2990
VAR|Varian Medical Systems|0000203527|3845
VVC|Vectren|0001096385|4932
VEEV|Veeva Systems|0001393052|7372
VTR|Ventas|0000740260|6798
VER|VEREIT|0001507385|6798
VRSN|Verisign|0001014473|7371
VRSK|Verisk Analytics|0001442145|7374
VZ|Verizon Communications|0000732712|4813
VSM|Versum Materials|0001660690|2890
VRTX|Vertex Pharmaceuticals|0000875320|2834
VIA|Viacom Class A|0001339947|4841
TWLO|Twilio|0001447669|7372
TWTR|Twitter|0001418091|7370
TWO|Two Harbors Investment|0001465740|6798
TYL|Tyler Technologies|0000860731|7372
TSN|Tyson Foods|0000100493|2015
USG|USG Corporation|0000757011|3270
UDR|UDR, Inc.|0000074208|6798
VMC|Vulcan Materials|0001396009|1400
WPC|W. P. Carey|0001025378|6798
WBC|WABCO Holdings|0001390844|3711
WAB|Wabtec|0000943452|3743
WBA|Walgreens Boots Alliance|0001618921|5912
WMT|Walmart|0000104169|5331
WM|Waste Management|0000823768|4953
WAT|Waters Corporation|0001000697|3826
WSO|Watsco|0000105016|5070
W|Wayfair|0001616707|5961
WBS|Webster Bank|0000801337|6021
WEC|WEC Energy Group|0000783325|4931
WRI|Weingarten Realty|0000828916|6798
WBT|Welbilt|0001650962|3580
WCG|WellCare|0001279363|6324
WFC|Wells Fargo|0000072971|6021
WELL|Welltower|0000766704|6798
WCC|Wesco International|0000929008|5063
WST|West Pharmaceutical Services|0000105770|3060
WAL|Western Alliance Bancorp|0001212545|6022
WDC|Western Digital|0000106040|3572
WU|Western Union|0001365135|7389
WLK|Westlake Chemical|0001262823|2860
WRK|Westrock|0001732845|2650
WEX|Wex|0001309108|7389
WY|Weyerhaeuser|0000106535|6798
WHR|Whirlpool|0000106640|3630
WTM|White Mountains Insurance Group|0000776867|6331
WLL|Whiting Petroleum Corporation|0001255474|1311
JWA|Wiley|0000107140|2731
WMB|Williams Companies|0000107263|4922
WSM|Williams-Sonoma|0000719955|5700
WLTW|Willis Towers Watson|0001140536|6411
WTFC|Wintrust Financial|0001015328|6022
WDAY|Workday, Inc.|0001327811|7374
WP|Worldpay|0001533932|7389
WPX|WPX Energy|0001518832|1311
WYND|Wyndham Destinations|0001361658|7011
WH|Wyndham Hotels & Resorts|0001722684|7011
VIAB|Viacom Class B|0001339947|4841
VICI|Vici Properties|0001705696|6798
VIRT|Virtu Financial|0001592386|6211
V|Visa Inc.|0001403161|7389
VC|Visteon|0001111335|3714
VMW|VMware|0001124610|7372
VNO|Vornado Realty Trust|0000899689|6798
VOYA|Voya Financial|0001535929|6311
ZAYO|Zayo Group|0001608249|4813
ZBRA|Zebra Technologies|0000877212|3560
ZEN|Zendesk|0001463172|7374
ZG|Zillow Group Class A|0001617640|7389
Z|Zillow Group Class C|0001617640|7389
ZBH|Zimmer Biomet|0001136869|3842
ZION|Zions Bancorporation|0000109380|6021
ZTS|Zoetis|0001555280|2834
ZNGA|Zynga|0001439404|7374
WYNN|Wynn Resorts|0001174922|7011
XEL|Xcel Energy|0000072903|4931
XRX|Xerox|0001770450|3577
XLNX|Xilinx|0000743988|3674
XPO|XPO Logistics|0001166003|4700
XYL|Xylem|0001524472|3561
YUMC|Yum China Holdings|0001673358|5812
YUM|Yum! Brands|0001041061|5812
